Britany Spears,Musician,Jackson,Musician
Lindsay Lohan,Actor,Sebas,Actor
Andy Dick,Miscellaneous,Prof,Miscellaneous
Amy Winehouse,Musician,Lynch,Musician
Angelina,Reality Star,Connors,Miscellaneous
Kanye,Musician,Gabe,Musician
Paula Abdul,Musician,Geoff,Miscellaneous
Artie Lang,Miscellaneous,Matty,Miscellaneous
Lady Gaga,Musician,Joel,Miscellaneous
Charlie Sheen,Actor,Kies,Actor
Tom Sizemore,Actor,Kevin,Actor
Millard Fillmore,Dead Person,Lou,Dead Person
Kwame Kilpatrick,Politician,Vinny,Politician
Snooki,Reality Star,Jackson,Reality Star
Lilly Allen,Musician,Sebas,Miscellaneous
Gary Coleman,Actor,Prof,Actor
50 Cent,Musician,Lynch,Miscellaneous
Megan Fox,Actor,Connors,Actor
Mitch Mcconnell,Politician,Gabe,Politician
Jack Nicholson,Actor,Geoff,Actor
Jessica Simpson,Musician,Matty,Musician
Madonna,Musician,Joel,Musician
Sean Penn,Actor,Kies,Actor
Dustin Diamond,Actor,Kevin,Actor
Lil Wayne,Musician,Lou,Musician
Lenny Dykstra,Athlete,Vinny,Athlete
Paris Hilton,Reality Star,Jackson,Miscellaneous
Janis Dickenson,Reality Star,Sebas,Reality Star
Mike Tyson,Athlete,Prof,Athlete
Dennis Rodman,Athlete,Lynch,Athlete
The Situation,Reality Star,Connors,Reality Star
Marvin Harrison,Athlete,Gabe,Athlete
Mel Gibson,Actor,Geoff,Actor
Silvio Berlusconi,Politician,Matty,Politician
Osama Bin Laden,Politician,Joel,Politician
Heidi Montag,Reality Star,Kies,Reality Star
Charles Rangel,Politician,Kevin,Politician
Nancy Pelosi,Politician,Lou,Politician
Tom Cruise,Actor,Vinny,Actor
Johnny Weir,Athlete,Jackson,Athlete
Katy Perry,Musician,Sebas,Musician
Fidel Castro,Politician,Prof,Politician
Hugo Chavez,Politician,Lynch,Politician
Tiger Woods,Athlete,Connors,Athlete
Dr. Conrad Murray,Miscellaneous,Gabe,Miscellaneous
Whitney Houston,Musician,Geoff,Musician
Micky Rourke,Actor,Matty,Actor
Lauren Conrad,Reality Star,Joel,Reality Star
Alex Rodriguez,Athlete,Kies,Athlete
Allen Iverson,Athlete,Kevin,Athlete
Carmello Anthony,Athlete,Lou,Athlete
Billy Bob Thorton,Actor,Vinny,Actor
Kim Jong Il,Politician,Jackson,Politician
Rod Blogojevich,Politician,Sebas,Politician
Boy George,Musician,Prof,Musician
Ron Artest,Athlete,Lynch,Miscellaneous
Bill Clinton,Politician,Connors,Politician
Cameron Douglas,Actor,Gabe,Actor
Chad Ocho Cinco,Athlete,Geoff,Athlete
Jose Canseco,Athlete,Matty,Athlete
Alexa Ray Joel,Actor,Joel,Actor
Jwoww,Reality Star,Kies,Miscellaneous
Miley Cyrus,Musician,Kevin,Musician
Spencer Pratt,Reality Star,Lou,Reality Star
Andre The Giant,Dead Person,Vinny,Dead Person
Joan Rivers,Actor,Jackson,Miscellaneous
Michael Jackson,Dead Person,Sebas,Dead Person
Tila Tequila,Reality Star,Prof,Reality Star
Kristin Cavallari,Reality Star,Lynch,Reality Star
Ellen Degeneres,Actor,Connors,Actor
Brittany Murphy,Actor,Gabe,Actor
Potgg,Reality Star,Geoff,Miscellaneous
Kim Kardashian,Reality Star,Matty,Reality Star
L Ron Hubbard,Dead Person,Joel,Dead Person
Ct,Reality Star,Kies,Miscellaneous
Charles Barkley,Actor,Kevin,Miscellaneous
Anne Hathaway,Actor,Lou,Actor
T.I.,Musician,Vinny,Musician
Dakota Fanning,Actor,Jackson,Actor
Dmx,Actor,Sebas,Actor
Gary Busey,Actor,Prof,Actor
Mischa Barton,Actor,Lynch,Actor
George Washington,Dead Person,Connors,Dead Person
Joey Kovar,Reality Star,Gabe,Reality Star
Mitt Romney,Politician,Geoff,Politician
Jennifer Aniston,Actor,Matty,Actor
Vienna Girardi,Reality Star,Joel,Miscellaneous
Courtney Love,Musician,Kies,Musician
Paul Reubens,Actor,Kevin,Miscellaneous
Jenna Jameson,Actor,Lou,Actor
Pauly D,Reality Star,Vinny,Reality Star
Ted Williams,Dead Person,Jackson,Dead Person
To,Athlete,Sebas,Athlete
Tiffany Pollard,Reality Star,Prof,Miscellaneous
Frank Sinatra,Dead Person,Lynch,Dead Person
John Mayer,Musician,Connors,Musician
Andrew Koenig,Dead Person,Gabe,Dead Person
Gretchen Rossi,Reality Star,Geoff,Reality Star
Jfk,Dead Person,Matty,Dead Person
Brian Austin Green,Actor,Joel,Actor
Patrick Swayze,Dead Person,Kies,Dead Person
The Miz,Reality Star,Kevin,Reality Star
Hugh Hefner,Miscellaneous,Lou,Miscellaneous
Ric Flair,Athlete,Vinny,Miscellaneous
Mary Kate Olsen,Actor,Jackson,Actor
Carrot Top,Miscellaneous,Sebas,Miscellaneous
Hitler,Dead Person,Prof,Dead Person
Alec Baldwin,Actor,Lynch,Actor
Al Davis,Miscellaneous,Connors,Miscellaneous
Kesha,Musician,Gabe,Miscellaneous
King Tut,Dead Person,Geoff,Dead Person
Nadya Suleman,Reality Star,Matty,Miscellaneous
Kim Yu Na,Athlete,Joel,Athlete
Scott Brown,Politician,Kies,Politician
Elvis,Dead Person,Kevin,Dead Person
Perez Hilton,Reality Star,Lou,Miscellaneous
Vince Shlomi,Reality Star,Vinny,Miscellaneous
